Species	Subject	Child	Condition	Session	Condition	door	Trial_number	Room Baited	Tool given to M	tool_transfer	tool_inserted_by	Where	tool_in_tube	Transfer	social tool use	comment	reward
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	1	open	1	both	Room 2	1	i	Stube	1				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	1	open	2	both	Room 2	1	i	Stube	1				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	2	open	3	giver_only	Room 2	1	i	Stube	1				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	2	open	4	giver_only	Room 2	1	i	Stube	1		Social tool use Pushing Suaq		
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	3	closed	5	both	Room 2	0	No	Give Back to E	0		Padana tries to get food from tube by throwing the tool against the tube		
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	3	closed	6	both	Room 2	0	No	Give Back to E	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	4	closed	7	giver_only	Room 2	0	No	Give Back to E	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	1	4	closed	8	giver_only	Room 2	0	No	Give Back to E	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	3	closed	1	both	Room 2	1	i	Nsocial	0		"Dokana gives tool to Tanah, she then takes it back, then Tanah takes tool and uses the nonsocial apparatus"		
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	3	closed	2	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	1	open	3	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	1	open	4	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	2	open	5	giver_only	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	2	open	6	giver_only	Room 2	0	m	Nsocial	0		Tanah tried to prevent Dokana from using the nonsocial apparatus		
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	4	closed	7	giver_only	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	1	4	closed	8	giver_only	Room 2	0	m	Nsocial	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	1	open	1	both	Room 2	1	i	Stube	1			Active transfer	
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	1	open	2	both	Room 2	1	i	Stube	1			Active transfer	
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	4	closed	3	giver_only	Room 2	0	m	Nsocial	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	4	closed	4	giver_only	Room 2	0	m	Nsocial	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	3	closed	5	both	Room 2	0	m	Nsocial	0				
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	3	closed	6	both	Room 2	1	m	Nsocial	0			Active transfer but then infant gives tool back to mother and she uses it in the nonsocial app	
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	2	open	7	giver_only	Room 2	1	i	Stube	1		Yes	Active transfer	
Orangutan	Padana	Suaq	2x2infant_Nonsocial	2	2	open	8	giver_only	Room 2	1	i	Nsocial	0		Yes	"Active transfer but infant decides not to push tool in tube, then returns to Padana, padana pushes suaq back but finally she takes the tool and uses it in the Nonsocial apparatus"	
Orangutan	Dokana	Tana	2x2infant_Nonsocial	2	3	closed	1	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	2	3	closed	2	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tana	2x2infant_Nonsocial	2	4	closed	3	giver_only	Room 2	0	m	Nsocial	0				
