Species	Subject	Child	Condition	Reward Nsoc	Session	Condition	door	Trial_number	Room Baited	Tool given to M	tool_transfer	tool_inserted_by	Where	tool_in_tube	Transfer	social tool use	comment	reward
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	1	open	1	both	Room 2	0	m	Nsocial	0			Tanah in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	1	open	2	both	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	2	open	3	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	2	open	4	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	3	closed	5	both	Room 2	0	m	Nsocial	0			Tanah in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	3	closed	6	both	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	4	closed	7	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	1	4	closed	8	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	1	open	1	both	Room 2	0	m	Nsocial	0			Tanah in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	1	open	2	both	Room 2	0	m	Nsocial	0			Tanah in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	4	closed	3	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	4	closed	4	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	3	closed	5	both	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	3	closed	6	both	Room 2	1	i	Nsocial	0	Passive (Tanah takes it)		"Tanah in 3, Tanah inserts tool but Dokana eats carrot"	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	2	open	7	giver_only	Room 2	1	i	Stube	1	Active	"Mother pushes Tanah while she is sitting in room 3, because she got the tool but did not move (check minute 12:40)"	Tanah in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	2	2	open	8	giver_only	Room 2	1	m	Nsocial	0	Active		"Tanah in 2, Dokana puts tool in 3 and let's go when Tanah gets in 3, but Tanah does not use it and returns to 2. Dokana takes tool and gets carrot"	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	4	closed	1	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	4	closed	2	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2 getting nursed	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	2	open	3	giver_only	Room 2	1	i	Stube	1	Ambiguous (Tanah comes back to get tool and Dokana brings tool but it is impossible to see the actual passing)	Slight push 	Tanah in 3. It takes her forever to put the tool in the tube	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	2	open	4	giver_only	Room 2	1	i	Stube	1	Active		"Tanah in 2. Dokana gives tool in room 2, close to where she gets it from me"	
